ROUTEID,ROUTENAME,ROADTYPE,BLOCKKEY,TOTALTRAVELLANES,TOTALTRAVELLANEWIDTH,TOTALTRAVELLANESINBOUND,TOTALTRAVELLANESOUTBOUND,SUMMARYDIRECTION,FHWAFUNCTIONALCLASS,NHSCODE,OWNERSHIP,SPEEDLIMITS_IB,SPEEDLIMITS_OB,STREETNAME,STREETTYPE,BLOCKID,DCFUNCTIONALCLASS,NHSTYPE,WARD_ID,ANC_ID,SMD_ID,BLOCK_NAME,ROAD,START,END,MIDPOINT,ADDRESS,MAR_ID,SURFACE_TYPE,OBJECTID,SHAPE,DC_MAINTENANCE_OPERATIONS,MAINTENANCE_OPERATIONS,SHAPELEN
13018522,BRUCE PL SE,1,6e06a429de20637fc25ec5ee5bdad443,2,18,1,1,BD,7,,1,,20,BRUCE,PL,13018522-13001532_13018522_13018592-13018522_13082352,19,,8,8C,8C03,1500 - 1699 BLOCK OF BRUCE PLACE SE,BRUCE PLACE SE,1500,1699,1600,"1600 BRUCE PLACE SE WASHINGTON, DC",809638,0,2793817,,1,1,0
13081512,SOUTHERN AVE SE,1,b751ab63ba2de195990c44af517f85a9,4,43,2,2,BD,4,,1,,25,SOUTHERN,AVE,13081512-13013132_13081512_13093372-13014302_13081512_13089832,16,,7,7B,7B08,4300 - 4313 BLOCK OF SOUTHERN AVENUE SE,SOUTHERN AVENUE SE,4300,4313,4307,"4307 SOUTHERN AVENUE SE WASHINGTON, DC",809666,7,2793818,,1,1,0
13085542,TEXAS AVE SE,1,9b79ee82db791272fc821e6d1a537b4a,2,16,0,2,OB,7,,1,,20,TEXAS,AVE,13085542-13002832_13085542-13002902_13085542,19,,7,7B,7B03,2820 - 2869 BLOCK OF TEXAS AVENUE SE,TEXAS AVENUE SE,2820,2869,2845,"2845 TEXAS AVENUE SE WASHINGTON, DC",815263,0,2793819,,1,1,0
13000502,5TH ST SE,1,804c85505fc8860a6c26aaa7fb6c3662,2,22,1,1,BD,7,,1,,,5TH,ST,13000502-13000502_13086582-00001,19,,8,8C,8C04,3400 - 3499 BLOCK OF 5TH STREET SE,5TH STREET SE,3400,3499,3450,"3450 5TH STREET SE WASHINGTON, DC",805320,0,2793820,,1,1,0
13001802,18TH ST SE,1,91e150ad95d15f5724cb69d5fdafb639,2,16,1,1,BD,7,,1,,20,18TH,ST,13001802-13001802_15031912-13001802_13008582,19,,7,7D,7D08,1 - 99 BLOCK OF 18TH STREET SE,18TH STREET SE,1,99,50,"50 18TH STREET SE WASHINGTON, DC",807267,0,2793821,,1,1,0
13000802,8TH ST SE,1,03d42af318733b5ad2d7fb0d073dde54,2,32,1,1,BD,4,,1,,15,8TH,ST,13000802-13000802_13026912-13000802_13031332,16,,6,6B,6B03,400 - 499 BLOCK OF 8TH STREET SE,8TH STREET SE,400,499,450,"450 8TH STREET SE WASHINGTON, DC",802034,7,2793822,,1,1,0
13037312,FORT DAVIS ST SE,1,1b214d8a55cf3521ce9ebd34fc8197bc,1,14,0,1,OB,7,,1,,25,FORT DAVIS,ST,13037312-13037312_13088462-13037312_13090152,19,,7,7B,7B06,2004 - 2199 BLOCK OF FORT DAVIS STREET SE,FORT DAVIS STREET SE,2004,2199,2102,"2102 FORT DAVIS STREET SE WASHINGTON, DC",812798,0,2793823,,1,1,0
13035682,FIRTH STERLING AVE SE,1,64ba5c8d72fbeb2f4ac736914286d9f0,4,36,2,2,BD,5,,1,,25,FIRTH STERLING,AVE,13035682-13035682_13077742_13083002-13035682_14028302_15081252_15081252_15081252A_15081252A_64010532_65081252,17,,8,8C,8C01,1 - 99 BLOCK OF FIRTH STERLING AVENUE SE,FIRTH STERLING AVENUE SE,1,99,50,"50 FIRTH STERLING AVENUE SE WASHINGTON, DC",813146,7,2793824,,1,1,0
15048463,INTERSTATE 395   BN,1,39e80abf92f272f40c23ab0d1b9c4d0e,2,22,2,0,IB,1,1,1,,,INTERSTATE 395,I,15048463-14001402_15048463-14096413_15048463,11,NHS Interstate,6,6D,6D01,,,,,0,"0  WASHINGTON, DC",,7,2793825,,1,1,0
13020152,CAMDEN ST SE,1,66248b449c0c40fcd9dde78004de624b,2,16,1,1,BD,7,,1,,20,CAMDEN,ST,13020152-13003302_13020152-13017352_13020152,19,,7,7B,7B05,3300 - 3339 BLOCK OF CAMDEN STREET SE,CAMDEN STREET SE,3300,3339,3320,"3320 CAMDEN STREET SE WASHINGTON, DC",810869,0,2793826,,1,1,0
13008582,A ST SE,1,0b4b3b393e6ffba2cfc79b0b51ac0bfb,2,16,1,1,BD,7,,1,,20,A,ST,13008582-13000502_13008582-13000602_13008582,19,,6,6B,6B02,500 - 599 BLOCK OF A STREET SE,A STREET SE,500,599,550,"550 A STREET SE WASHINGTON, DC",811687,0,2793827,,1,1,0
14001242,12TH EXPY SW,1,34bb6695d753780003a9bf0a30e3ae78,2,24,2,0,IB,2,1,1,,,12TH,EXPY,14001242-11001242_14001242_36004232-14001242_14026912_14059472,12,NHS Non-Interstate,6,6D,6D01,,,,,0,"0  WASHINGTON, DC",,6,2793828,,1,1,0
14084002,SUPPLY LN SW,1,10d8bd32a4790df900c066dab5d8826e,2,32,1,1,BD,7,,7,,,SUPPLY,LN,14084002-14065512_14069862_14084002-14058522_14084002,19,,8,8D,8D04,0 - 0 BLOCK OF SUPPLY LANE SW,SUPPLY LANE SW,0,0,0,"0 SUPPLY LANE SW WASHINGTON, DC",805675,0,2793829,,7,21,0
13004602,46TH ST SE,1,ea72784a36c2f341a27db822a2d887ca,2,16,1,1,BD,7,,1,,20,46TH,ST,13004602-13004602_13034382-13004602_13038612,19,,7,7E,7E07,600 - 699 BLOCK OF 46TH STREET SE,46TH STREET SE,600,699,650,"650 46TH STREET SE WASHINGTON, DC",807677,0,2793830,,1,1,0
14000402,4TH ST SW,1,875fdb60fdca3f6b55fe072b7b2dd122,2,22,1,1,BD,4,,1,,20,4TH,ST,14000402-14000402_14019822-14000402_14026912,16,,6,6D,6D02,300 - 399 BLOCK OF 4TH STREET SW,4TH STREET SW,300,399,350,"350 4TH STREET SW WASHINGTON, DC",801538,7,2793831,,1,1,0
13053492,L ST SE,1,705a22bb008bb1af4e4486eb5024f03a,2,16,1,1,BD,7,,1,,20,L,ST,13053492-13000052_13053492-13026842_13053492,19,,6,8F,8F04,48 - 79 BLOCK OF L STREET SE,L STREET SE,48,79,64,"64 L STREET SE WASHINGTON, DC",802560,0,2793832,,1,1,0
13061162,MINNESOTA AVE SE,1,f332cfc0ff41e0c9b35f23d9bfd43dab,4,43,2,2,BD,4,,1,,20,MINNESOTA,AVE,13061162-13019432_13061162-13002702_13061162,16,,7,7B,7B01,2600 - 2699 BLOCK OF MINNESOTA AVENUE SE,MINNESOTA AVENUE SE,2600,2699,2650,"2650 MINNESOTA AVENUE SE WASHINGTON, DC",806688,7,2793833,,1,1,0
13061162,MINNESOTA AVE SE,1,181eab983d749cc180f49786df710886,3,30,1,2,BD,4,,1,,20,MINNESOTA,AVE,13061162-13061162_13077672-13001702_13061162,16,,8,8A,8A02,1620 - 1699 BLOCK OF MINNESOTA AVENUE SE,MINNESOTA AVENUE SE,1620,1699,1660,"1660 MINNESOTA AVENUE SE WASHINGTON, DC",801333,7,2793834,,1,1,0
13050892,K ST SE,1,bd063e53e4b306907e546cb56d8ad98e,1,16,0,1,OB,7,,1,,20,K,ST,13050892-13003102_13050892-13050892_13059602_13074492,19,,7,7B,7B01,3100 - 3199 BLOCK OF K STREET SE,K STREET SE,3100,3199,3150,"3150 K STREET SE WASHINGTON, DC",813685,0,2793835,,1,1,0
