OBJECTID,TRACT,BLKGRP,GEOID,GID,UTC_AC06,UTC_PCT06,UTC_AC11,UTC_PCT11,PCT_CHG_06,PCT_CHG_11,TOTAL_AC,LAND_AC,TCAN_AC,TCAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,PLOT_AC,PLOT_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_V_AC,UN_V_PCT,TO_UN_AC,TO_UN_PCT,UN_IA_AC,UN_IA_PCT,UN_SL_AC,UN_SL_PCT,WTR_AC,WTR_PCT,UTC_AC_15,UTC_PCT_15,UTCAC1520,UTCPCT1520,ENRGY_CON,STRM_WTR,UHI,LAND_OWN,WLDLF_CON,ASTHMA,CARDIO,MNTL_HLTH,OBESITY,INSURANCE,POP_UNDER,HOMEOWNR,OVERALL,LOW_UTC,POS_UTC,TRACT_1,TRACT_2,GIS_ID,GLOBALID,SHAPEAREA,SHAPELEN
167,003500,1,110010035001,164,4.27,13.95881007,5.1,16.67211507,3.26341215,0.55010715,30.59,30.59,6.09,19.91,1.21,3.96,9.94,32.5,23.28,76.1,5.21,17.01,1,3.27,1.26,4.13,5.87,19.18,0,0,0.01,0.03,6.09,19.91,1.2,3.92,3.48,11.37,2.28,7.45,0,0,21.03,68.72,21.02,68.69,0.01,0.03,0,0,5.27,17.22785224,0.82,2.68214776,1.94734148,7.44628116,33.05508138,0,0,11.3,2.3,13.3,23.5,9.3,0.42353644,5.9,10.34849682,80.09,11.37,11001003500,11001003500,UTC_BlockGroupPly2010_2020_164,{179A19B3-DAAF-4521-BB65-3C14372008F0},0,0
168,011100,3,110010111003,450,391.85,43.65335769,407.74,45.571799,5.8256114,3.9071701,964.22,891.76,398.88,41.37,304.44,31.57,36.62,3.8,188.26,19.52,51.66,5.36,38.81,4.03,11.37,1.18,49.8,5.16,72.47,7.51563654,0.17,0.02,398.88,44.73,253.9,28.47,304.06,34.1,50.16,5.62,50.28,5.64,188.82,21.17,138.37,15.52,0.17,0.02,72.47,8.13,443.48,49.73086929,-44.6,-5.00086929,0.78025699,8.57195396,30.89844298,2.07132098,13.21517258,11.1,7.2,11.6,32.2,9.8,0.50416667,24.2,11.89132145,55.27,34.1,11001011100,11001011100,UTC_BlockGroupPly2010_2020_450,{9DDE03A0-44D5-4DFA-BD71-E244186E657E},0,0
169,003900,1,110010039001,175,2,17.65225066,2.56,22.59488085,8.82612533,3.88349515,11.33,11.33,3,26.51,0.5,4.39,3.82,33.71,7.83,69.1,1.73,15.29,0.4,3.57,0.76,6.71,1.11,9.82,0,0,0,0,3,26.51,0.45,3.96,1.52,13.46,1.08,9.5,0.04,0.39,6.8,60.03,6.75,59.64,0,0,0,0,3,26.47837599,0,0.03162401,2.63487922,9.50062921,32.86962845,0.51230546,2.69433846,8.2,2.1,8.6,18.6,4.8,0.0956341,6.6,9.42056973,73.49,13.46,11001003900,11001003900,UTC_BlockGroupPly2010_2020_175,{10A8F0B4-B4E8-4AE9-8775-87354CB0680A},0,0
170,009203,1,110010092031,390,22.43,24.75444211,27.32,30.15119744,8.45381304,3.05705772,90.61,90.61,25.84,28.52,39.23,43.29,6.94,7.65,25.52,28.16,11.9,13.13,0.7,0.78,1.23,1.35,4.75,5.25,0,0,0.02,0.02,25.84,28.52,39.2,43.27,41.15,45.42,1.95,2.15,0.01,0.01,23.62,26.06,23.59,26.03,0.02,0.02,0,0,30.09,33.20825516,-4.25,-4.68825516,2.14975284,2.15088858,32.33348967,0,6.35731719,11.2,4.9,12,29.5,9.8,0.32693626,22.4,11.58371882,71.48,45.42,11001009203,11001009203,UTC_BlockGroupPly2010_2020_390,{10A7BEF3-B630-48C9-B03A-C43AA6127518},0,0
171,003900,3,110010039003,177,2.35,12.67529666,3.34,18.01510248,5.50161812,0.1618123,18.54,18.54,3.74,20.18,0.7,3.76,7.33,39.53,14.1,76.06,2.86,15.45,0.61,3.28,1.18,6.38,2.12,11.42,0,0,0,0,3.74,20.18,0.7,3.76,2.49,13.43,1.79,9.67,0,0,12.31,66.39,12.31,66.39,0,0,0,0,3.37,18.17691478,0.37,2.00308522,2.52932729,9.66979985,33.0881005,0.02228322,0.03060334,8.2,2.1,8.6,18.6,4.8,0.09323583,6.6,9.39406868,79.82,13.43,11001003900,11001003900,UTC_BlockGroupPly2010_2020_177,{9D614D9F-2478-4B38-87A5-04C54E94E260},0,0
172,003600,3,110010036003,168,4.09,10.60959792,5.28,13.69649805,2.36057069,-0.72632944,38.55,38.55,6.06,15.73,2.96,7.67,12.73,33.01,29.53,76.61,5.2,13.49,1.25,3.23,2.29,5.93,8.08,20.95,0,0,0,0,6.06,15.73,2.88,7.46,6.42,16.65,3.54,9.19,0.07,0.17,26.07,67.62,26,67.45,0,0,0,0,5,12.97016861,1.06,2.75983139,1.24118451,9.19193559,33.14030646,8.82320688,0,8.8,2.6,9.5,22.1,7.2,0.16453996,5,10.07460818,84.27,16.65,11001003600,11001003600,UTC_BlockGroupPly2010_2020_168,{C925B5BF-7B08-43CF-A563-694233B0A027},0,0
173,003600,2,110010036002,167,2.09,11.49614962,3.08,16.94169417,4.29042904,-1.15511551,18.18,18.18,3.99,21.97,1.12,6.19,5.26,28.93,13.06,71.85,2.56,14.06,1.51,8.29,0.98,5.36,2.76,15.2,0,0,0,0,3.99,21.97,1.1,6.07,3.55,19.54,2.45,13.47,0.02,0.09,10.64,58.49,10.62,58.4,0,0,0,0,2.87,15.78657866,1.12,6.18342134,11.14452923,13.47118502,33.1402513,0.01720527,0,8.8,2.6,9.5,22.1,7.2,0.45326504,5,10.55598006,78.03,19.54,11001003600,11001003600,UTC_BlockGroupPly2010_2020_167,{506C46C5-4DE8-4122-AB65-11FFA1995C03},0,0
174,003301,1,110010033011,157,6.23,10.09560849,8.91,14.43850267,5.08831632,0.74542214,61.71,61.71,8.42,13.64,23.37,37.87,10.12,16.4,29.92,48.49,7,11.35,1.56,2.52,1.12,1.82,10.12,16.4,0,0,0,0.01,8.42,13.64,23.16,37.54,26.04,42.21,2.88,4.67,0,0,27.25,44.15,27.24,44.15,0,0.01,0,0,9.37,15.18392481,-0.95,-1.54392481,1.82677295,4.66663739,32.47905688,35.80245434,0.12900521,9.3,2.5,8.9,22.3,5.6,0.22013889,9.1,11.25614444,86.36,42.21,11001003301,11001003301,UTC_BlockGroupPly2010_2020_157,{8BE89B96-5794-4A93-A359-082D3FC05B96},0,0
175,003700,2,110010037002,170,3.11,10.5174163,4.21,14.23740277,4.94266489,1.22267842,29.57,29.57,5.44,18.41,1.57,5.3,9.46,31.99,22.56,76.28,4.46,15.07,1.96,6.63,2.63,8.9,4.05,13.69,0,0,0,0,5.44,18.41,1.5,5.08,6.13,20.73,4.63,15.65,0.03,0.11,18,60.86,17.96,60.75,0,0,0,0,4.57,15.45485289,0.87,2.95514711,9.02982024,15.64861472,32.83330627,1.31038614,0.83633066,10,2.6,12.6,24.4,10.3,0.51801186,4.5,11.1198006,81.59,20.73,11001003700,11001003700,UTC_BlockGroupPly2010_2020_170,{8BB84EFC-81EE-4FDF-9CE4-737C0AF46F9F},0,0
176,003800,3,110010038003,174,2.74,12.18319253,2.96,13.16140507,3.11249444,2.1342819,22.49,22.49,3.13,13.91,0.71,3.14,7.87,34.99,18.66,82.95,3.77,16.74,1.91,8.48,2.37,10.54,2.74,12.2,0,0,0,0,3.13,13.91,0.69,3.07,4.96,22.06,4.27,18.99,0.01,0.04,14.4,64.03,14.39,64,0,0,0,0,3.44,15.29568697,-0.31,-1.38568697,1.53261339,18.98832905,32.74205468,2.31603986,0.04558378,8.4,2.6,9.5,20.5,6.9,0.29479326,5.6,10.35618939,86.09,22.06,11001003800,11001003800,UTC_BlockGroupPly2010_2020_174,{E141E6BE-6159-479E-B1BC-BA6DB8BE90A6},0,0
